id,target
boostcamp-sts-v1-test-000,2.7
boostcamp-sts-v1-test-001,4.2
boostcamp-sts-v1-test-002,1.8
boostcamp-sts-v1-test-003,0.0
boostcamp-sts-v1-test-004,3.4
boostcamp-sts-v1-test-005,2.7
boostcamp-sts-v1-test-006,3.7
boostcamp-sts-v1-test-007,1.3
boostcamp-sts-v1-test-008,0.1
boostcamp-sts-v1-test-009,4.5
boostcamp-sts-v1-test-010,1.3
boostcamp-sts-v1-test-011,3.1
boostcamp-sts-v1-test-012,1.9
boostcamp-sts-v1-test-013,2.4
boostcamp-sts-v1-test-014,2.4
boostcamp-sts-v1-test-015,4.1
boostcamp-sts-v1-test-016,4.6
boostcamp-sts-v1-test-017,2.7
boostcamp-sts-v1-test-018,4.7
boostcamp-sts-v1-test-019,4.1
boostcamp-sts-v1-test-020,2.9
boostcamp-sts-v1-test-021,2.6
boostcamp-sts-v1-test-022,1.7
boostcamp-sts-v1-test-023,0.5
boostcamp-sts-v1-test-024,1.4
boostcamp-sts-v1-test-025,2.0
boostcamp-sts-v1-test-026,1.2
boostcamp-sts-v1-test-027,1.3
boostcamp-sts-v1-test-028,3.7
boostcamp-sts-v1-test-029,2.8
boostcamp-sts-v1-test-030,4.1
boostcamp-sts-v1-test-031,0.7
boostcamp-sts-v1-test-032,2.2
boostcamp-sts-v1-test-033,2.4
boostcamp-sts-v1-test-034,3.1
boostcamp-sts-v1-test-035,0.9
boostcamp-sts-v1-test-036,2.1
boostcamp-sts-v1-test-037,0.7
boostcamp-sts-v1-test-038,0.3
boostcamp-sts-v1-test-039,3.2
boostcamp-sts-v1-test-040,0.1
boostcamp-sts-v1-test-041,3.7
boostcamp-sts-v1-test-042,0.1
boostcamp-sts-v1-test-043,1.1
boostcamp-sts-v1-test-044,2.5
boostcamp-sts-v1-test-045,4.9
boostcamp-sts-v1-test-046,2.1
boostcamp-sts-v1-test-047,1.3
boostcamp-sts-v1-test-048,0.1
boostcamp-sts-v1-test-049,3.2
boostcamp-sts-v1-test-050,-0.0
boostcamp-sts-v1-test-051,1.2
boostcamp-sts-v1-test-052,2.7
boostcamp-sts-v1-test-053,3.2
boostcamp-sts-v1-test-054,3.8
boostcamp-sts-v1-test-055,1.3
boostcamp-sts-v1-test-056,3.4
boostcamp-sts-v1-test-057,0.9
boostcamp-sts-v1-test-058,2.3
boostcamp-sts-v1-test-059,3.0
boostcamp-sts-v1-test-060,4.0
boostcamp-sts-v1-test-061,3.5
boostcamp-sts-v1-test-062,1.1
boostcamp-sts-v1-test-063,1.6
boostcamp-sts-v1-test-064,2.3
boostcamp-sts-v1-test-065,3.9
boostcamp-sts-v1-test-066,2.8
boostcamp-sts-v1-test-067,0.9
boostcamp-sts-v1-test-068,2.4
boostcamp-sts-v1-test-069,2.4
boostcamp-sts-v1-test-070,0.1
boostcamp-sts-v1-test-071,2.8
boostcamp-sts-v1-test-072,4.2
boostcamp-sts-v1-test-073,4.1
boostcamp-sts-v1-test-074,0.1
boostcamp-sts-v1-test-075,1.4
boostcamp-sts-v1-test-076,2.9
